Nazwa,Dzielnica,Adres,Kod,Sporty,Telefon,E-mail,WWW,Operator,Status,System rezerwacji,Przypisany,Osoba kontaktowa,Ostatni kontakt,Followup,Notatki,AI,Ostatnia zmiana
Boisko — siatkówka · piasek,,Poznań,,siatkówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — siatkówka · piasek,,Poznań,,siatkówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — siatkówka · piasek,,Poznań,,siatkówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — siatkówka · piasek,,Poznań,,siatkówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — siatkówka · piasek,,Poznań,,siatkówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — siatkówka · sztuczna trawa,,Poznań,,siatkówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — siatkówka · tartan / asfalt,,Poznań,,siatkówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — siatkówka · tartan / asfalt,,Poznań,,siatkówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — siatkówka · trawa naturalna,,Poznań,,siatkówka,,,,,Nowy,Nieznany,,,,,,,
Boisko — siatkówka · trawa naturalna,,Poznań,,siatkówka,,,,,Nowy,Nieznany,,,,,,,
Boisko do koszykówki,,Poznań,,koszykówka,,,,,Nowy,Nieznany,,,,,,,
Boisko do piłki nożnej,,Poznań,,piłka nożna,,,,,Nowy,Nieznany,,,,,,,
Boisko gminne,,Poznań,,piłka nożna,,,,,Nowy,Nieznany,,,,,,,
Boisko górne - stadion,,Poznań,,piłka nożna,,,,,Nowy,Nieznany,,,,,,,
Boisko Os. Winogrady,Winogrady,"os. Przyjaźni, 61-685 Poznań",61-625,piłka nożna / koszykówka,,,,,Nowy,Nieznany,,,,,,"Nie udało się potwierdzić istnienia obiektu o dokładnej nazwie ""Boisko Os. Winogrady"" pod adresem os. Przyjaźni, 61-685 Poznań. Wyszukiwania wskazują na boisko przy Szkole Podstawowej nr 66 na terenie os. Przyjaźni (do koszykówki i siatkówki), jednak brakuje konkretnych danych kontaktowych dla tego obiektu. Możliwe, że obiekt zarządzany jest przez SP 66, administrację PSM Winogrady lub jest dostępny dla mieszkańców osiedla bez formalnej rezerwacji. Wymagane bezpośrednie skontaktowanie się z administracją osiedla.",
Boisko Parafialne,,Poznań,,piłka nożna,,,,,Nowy,Nieznany,,,,,,,
Boisko przy Zespole Szkolno - Przedszkolnym w Maniewie,,Poznań,,piłka nożna,,,,,Nowy,Nieznany,,,,,,,
Boisko SP2,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Junikowo,ul. Małoszyńska 38A,60-176,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Dębiec,ul. Świętego Szczepana,61-465,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Stare Miasto,ul. Kazimierza Wielkiego,61-863,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,ul. Przemysłowa,62-005,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Dębiec,ul. 28 Czerwca 1956 roku,61-445,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Rataje,os. Piastowskie,60-156,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,ul. Pogodna,62-020,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Górczyn,ul. Macieja Palacza,60-242,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Kwiatowe,ul. Szarotkowa,60-175,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Osiedle Młodych,Ignacego Jana Paderewskiego 27 Środa Wielkopolska,63-000,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Stare Miasto,ul. Janusza Kulasa,61-714,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Dębiec,ul. Jesionowa 14,61-432,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Górczynek,ul. Rawicka 12/14,60-113,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Górczynek,ul. Gostyńska,60-102,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,ul. Poznańska,62-008,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Dębiec,ul. Jesionowa 14,61-432,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,piłka nożna,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,,,Nowy,Nieznany,,,,,,,
